奧克蘭運動家,1,1,0,0,0,0,0,0,x,2,7,0
底特律老虎,0,2,0,0,0,3,0,2,0,7,13,0
邁阿密馬林魚,0,0,0,0,0,2,0,0,1,3,10,1
舊金山巨人,1,1,0,0,0,1,0,0,0,3,6,0
密爾瓦基釀酒人,1,1,1,0,0,0,1,0,x,4,9,2
科羅拉多落磯山,2,0,1,0,0,0,1,0,0,4,8,1
亞歷桑那響尾蛇,0,0,2,0,0,0,0,0,1,3,8,0
聖路易紅雀,0,0,0,0,0,1,0,0,0,1,4,3
匹茲堡海盜,1,0,0,0,3,1,0,0,x,5,9,0
華盛頓國民,0,0,0,0,0,0,3,0,0,3,8,0
亞特蘭大勇士,0,0,0,1,0,0,0,0,0,1,8,1
費城費城人,2,0,0,0,0,0,0,0,0,2,5,0
辛辛那提紅人,1,0,0,0,0,0,0,0,2,3,8,0
洛杉磯道奇,4,0,0,1,0,0,0,1,1,7,11,1
聖地牙哥教士,0,0,0,0,0,0,0,0,0,0,5,0
芝加哥白襪,0,0,0,0,0,2,0,0,4,6,10,1
奧克蘭運動家,0,0,0,0,0,0,0,0,1,1,4,2
休士頓太空人,0,3,0,2,0,0,0,0,0,5,9,1
紐約洋基,0,1,1,2,1,0,3,0,x,8,12,0
明尼蘇達雙城,1,1,0,0,0,0,0,0,0,2,9,0
巴爾的摩金鶯,0,0,0,0,0,1,2,1,x,4,8,1
德州遊騎兵,1,0,1,0,0,0,1,0,0,3,4,0
洛杉磯天使,0,0,1,0,2,0,0,0,1,4,11,1
費城費城人,0,0,1,1,2,0,0,2,0,6,9,1
辛辛那提紅人,0,0,1,8,0,0,1,0,x,10,12,1
邁阿密馬林魚,3,0,1,0,1,0,1,0,0,6,13,1
華盛頓國民,3,0,0,0,0,0,1,0,0,4,6,1
洛杉磯道奇,0,2,1,0,1,0,0,2,0,6,13,1
舊金山巨人,0,0,0,0,3,4,0,5,x,12,17,0
芝加哥小熊,0,2,2,5,0,0,1,0,4,14,14,0
亞歷桑那響尾蛇,3,1,2,0,0,0,0,0,0,6,8,2
紐約洋基,0,0,0,0,0,0,0,0,0,0,3,0
底特律老虎,1,0,0,2,0,0,1,0,x,4,13,0
克里夫蘭印地安人,3,2,0,0,2,0,0,0,0,7,9,0
芝加哥白襪,0,0,0,1,0,0,0,0,0,1,3,1
坦帕灣光芒,1,0,0,0,0,0,0,0,0,1,5,0
巴爾的摩金鶯,0,1,0,1,4,0,0,0,x,6,10,0
波士頓紅襪,0,1,1,0,0,4,2,0,0,8,11,0
多倫多藍鳥,1,0,0,6,0,0,0,0,0,7,9,1
明尼蘇達雙城,0,1,0,0,0,1,0,1,0,3,6,1
堪薩斯皇家,0,2,0,0,0,0,0,2,x,4,9,0
德州遊騎兵,3,0,2,1,0,0,1,0,0,7,10,0
洛杉磯天使,0,1,1,1,0,0,0,0,0,3,7,1
奧克蘭運動家,0,0,0,1,1,0,0,0,1,3,9,2
西雅圖水手,0,0,0,0,2,0,0,0,0,2,4,2
休士頓太空人,0,0,0,0,0,0,0,0,4,4,9,0
密爾瓦基釀酒人,3,1,0,0,0,0,0,2,x,6,7,0
費城費城人,0,0,0,0,0,1,0,1,0,2,8,1
紐約大都會,0,1,0,0,0,2,4,0,x,7,9,1
聖地牙哥教士,0,0,0,6,3,2,0,0,2,13,18,0
科羅拉多落磯山,0,2,0,3,0,0,0,0,1,6,9,0
匹茲堡海盜,0,1,0,0,1,0,0,4,0,6,8,3
辛辛那提紅人,2,0,1,0,0,1,1,0,0,5,6,3
聖路易紅雀,0,0,0,3,0,0,1,1,2,7,11,2
亞特蘭大勇士,0,0,4,0,0,0,0,0,0,4,5,0
芝加哥小熊,0,0,2,0,0,0,0,0,0,2,5,1
亞歷桑那響尾蛇,0,0,0,0,0,1,0,1,1,3,8,0
洛杉磯道奇,0,0,0,2,0,0,0,0,0,2,9,0
舊金山巨人,0,0,0,0,0,0,2,0,1,3,2,0
波士頓紅襪,0,0,3,1,3,1,0,0,0,8,11,1
多倫多藍鳥,2,0,2,0,0,0,0,0,0,4,7,1
紐約洋基,1,1,0,4,2,0,0,0,0,8,13,1
底特律老虎,0,0,0,2,0,0,2,0,0,4,7,1
克里夫蘭印地安人,0,0,0,0,0,2,1,0,0,3,7,3
芝加哥白襪,0,0,1,1,0,0,5,0,x,7,10,1
明尼蘇達雙城,0,0,0,0,0,0,0,0,0,0,7,2
堪薩斯皇家,0,0,0,2,2,3,0,0,x,7,10,0
德州遊騎兵,1,0,0,1,0,0,2,0,0,4,10,0
洛杉磯天使,1,0,0,0,0,0,0,0,0,1,5,2
奧克蘭運動家,2,0,0,0,2,1,0,1,0,6,11,0
西雅圖水手,0,1,0,0,0,0,0,0,0,1,5,0
休士頓太空人,2,0,1,0,3,0,0,0,0,6,9,0
密爾瓦基釀酒人,0,0,1,0,2,1,0,0,0,4,8,2
匹茲堡海盜,0,0,0,0,0,1,0,0,0,1,10,1
辛辛那提紅人,2,0,0,0,1,0,2,0,x,5,8,1
洛杉磯道奇,0,1,0,0,0,0,0,1,1,3,10,0
舊金山巨人,1,0,0,1,0,0,0,0,0,2,5,1
聖路易紅雀,0,2,1,2,2,0,1,2,2,12,14,3
亞特蘭大勇士,0,0,2,0,0,0,0,0,0,2,4,3
費城費城人,0,0,0,0,1,0,0,0,0,1,8,0
紐約大都會,0,0,0,0,0,0,0,0,0,0,3,0
聖地牙哥教士,0,0,1,6,0,3,0,0,6,16,19,1
科羅拉多落磯山,0,0,0,2,0,0,1,0,0,3,8,2
